D,N(d)
-3,0.0013
-2.95,0.0016
-2.9,0.0019
-2.85,0.0022
-2.8,0.0026
-2.75,0.003
-2.7,0.0035
-2.65,0.004
-2.6,0.0047
-2.55,0.0054
-2.5,0.0062
-2.45,0.0071
-2.4,0.0082
-2.35,0.0094
-2.3,0.0107
-2.25,0.0122
-2.2,0.0139
-2.15,0.0158
-2.1,0.0179
-2.05,0.0202
-2,0.0228
-1.98,0.0239
-1.96,0.025
-1.94,0.0262
-1.92,0.0274
-1.9,0.0287
-1.88,0.0301
-1.86,0.0314
-1.84,0.0329
-1.82,0.0344
-1.8,0.0359
-1.78,0.0375
-1.76,0.0392
-1.74,0.0409
-1.72,0.0427
-1.7,0.0446
-1.68,0.0465
-1.66,0.0485
-1.64,0.0505
-1.62,0.0526
-1.6,0.0548
-1.58,0.0571
-1.56,0.0594
-1.54,0.0618
-1.52,0.0643
-1.5,0.0668
-1.48,0.0694
-1.46,0.0721
-1.44,0.0749
-1.42,0.0778
-1.4,0.0808
-1.38,0.0838
-1.36,0.0869
-1.34,0.0901
-1.32,0.0934
-1.3,0.0968
-1.28,0.1003
-1.26,0.1038
-1.24,0.1075
-1.22,0.1112
-1.2,0.1151
-1.18,0.119
-1.16,0.123
-1.14,0.1271
-1.12,0.1314
-1.1,0.1357
-1.08,0.1401
-1.06,0.1446
-1.04,0.1492
-1.02,0.1539
-1,0.1587
-0.99,0.1611
-0.98,0.1635
-0.97,0.166
-0.96,0.1685
-0.95,0.1711
-0.94,0.1736
-0.93,0.1762
-0.92,0.1788
-0.91,0.1814
-0.9,0.1841
-0.89,0.1867
-0.88,0.1894
-0.87,0.1922
-0.86,0.1949
-0.85,0.1977
-0.84,0.2005
-0.83,0.2033
-0.82,0.2061
-0.81,0.209
-0.8,0.2119
-0.79,0.2148
-0.78,0.2177
-0.77,0.2206
-0.76,0.2236
-0.75,0.2266
-0.74,0.2296
-0.73,0.2327
-0.72,0.2358
-0.71,0.2389
-0.7,0.242
-0.69,0.2451
-0.68,0.2483
-0.67,0.2514
-0.66,0.2546
-0.65,0.2578
-0.64,0.2611
-0.63,0.2643
-0.62,0.2676
-0.61,0.2709
-0.6,0.2743
-0.59,0.2776
-0.58,0.281
-0.57,0.2843
-0.56,0.2877
-0.55,0.2912
-0.54,0.2946
-0.53,0.2981
-0.52,0.3015
-0.51,0.305
-0.5,0.3085
-0.49,0.3121
-0.48,0.3156
-0.47,0.3192
-0.46,0.3228
-0.45,0.3264
-0.44,0.33
-0.43,0.3336
-0.42,0.3372
-0.41,0.3409
-0.4,0.3446
-0.39,0.3483
-0.38,0.352
-0.37,0.3557
-0.36,0.3594
-0.35,0.3632
-0.34,0.3669
-0.33,0.3707
-0.32,0.3745
-0.31,0.3783
-0.3,0.3821
-0.29,0.3859
-0.28,0.3897
-0.27,0.3936
-0.26,0.3974
-0.25,0.4013
-0.24,0.4052
-0.23,0.409
-0.22,0.4129
-0.21,0.4168
-0.2,0.4207
-0.19,0.4247
-0.18,0.4286
-0.17,0.4325
-0.16,0.4364
-0.15,0.4404
-0.14,0.4443
-0.13,0.4483
-0.12,0.4522
-0.11,0.4562
-0.1,0.4602
-0.09,0.4641
-0.08,0.4681
-0.07,0.4721
-0.06,0.4761
-0.05,0.4801
-0.04,0.484
-0.03,0.488
-0.02,0.492
-0.01,0.496
0,0.5
0.01,0.504
0.02,0.508
0.03,0.512
0.04,0.516
0.05,0.5199
0.06,0.5239
0.07,0.5279
0.08,0.5319
0.09,0.5359
0.1,0.5398
0.11,0.5438
0.12,0.5478
0.13,0.5517
0.14,0.5557
0.15,0.5596
0.16,0.5636
0.17,0.5675
0.18,0.5714
0.19,0.5753
0.2,0.5793
0.21,0.5832
0.22,0.5871
0.23,0.591
0.24,0.5948
0.25,0.5987
0.26,0.6026
0.27,0.6064
0.28,0.6103
0.29,0.6141
0.3,0.6179
0.31,0.6217
0.32,0.6255
0.33,0.6293
0.34,0.6331
0.35,0.6368
0.36,0.6406
0.37,0.6443
0.38,0.648
0.39,0.6517
0.4,0.6554
0.41,0.6591
0.42,0.6628
0.43,0.6664
0.44,0.67
0.45,0.6736
0.46,0.6772
0.47,0.6808
0.48,0.6844
0.49,0.6879
0.5,0.6915
0.51,0.695
0.52,0.6985
0.53,0.7019
0.54,0.7054
0.55,0.7088
0.56,0.7123
0.57,0.7157
0.58,0.719
0.59,0.7224
0.6,0.7257
0.61,0.7291
0.62,0.7324
0.63,0.7357
0.64,0.7389
0.65,0.7422
0.66,0.7454
0.67,0.7486
0.68,0.7517
0.69,0.7549
0.7,0.758
0.71,0.7611
0.72,0.7642
0.73,0.7673
0.74,0.7704
0.75,0.7734
0.76,0.7764
0.77,0.7794
0.78,0.7823
0.79,0.7852
0.8,0.7881
0.81,0.791
0.82,0.7939
0.83,0.7967
0.84,0.7995
0.85,0.8023
0.86,0.8051
0.87,0.8078
0.88,0.8106
0.89,0.8133
0.9,0.8159
0.91,0.8186
0.92,0.8212
0.93,0.8238
0.94,0.8264
0.95,0.8289
0.96,0.8315
0.97,0.834
0.98,0.8365
0.99,0.8389
1,0.8413
1.02,0.8461
1.04,0.8508
1.06,0.8554
1.08,0.8599
1.1,0.8643
1.12,0.8686
1.14,0.8729
1.16,0.877
1.18,0.881
1.2,0.8849
1.22,0.8888
1.24,0.8925
1.26,0.8962
1.28,0.8997
1.3,0.9032
1.32,0.9066
1.34,0.9099
1.36,0.9131
1.38,0.9162
1.4,0.9192
1.42,0.9222
1.44,0.9251
1.46,0.9279
1.48,0.9306
1.5,0.9332
1.52,0.9357
1.54,0.9382
1.56,0.9406
1.58,0.9429
1.6,0.9452
1.62,0.9474
1.64,0.9495
1.66,0.9515
1.68,0.9535
1.7,0.9554
1.72,0.9573
1.74,0.9591
1.76,0.9608
1.78,0.9625
1.8,0.9641
1.82,0.9656
1.84,0.9671
1.86,0.9686
1.88,0.9699
1.9,0.9713
1.92,0.9726
1.94,0.9738
1.96,0.975
1.98,0.9761
2,0.9772
2.05,0.9798
2.1,0.9821
2.15,0.9842
2.2,0.9861
2.25,0.9878
2.3,0.9893
2.35,0.9906
2.4,0.9918
2.45,0.9929
2.5,0.9938
2.55,0.9946
2.6,0.9953
2.65,0.996
2.7,0.9965
2.75,0.997
2.8,0.9974
2.85,0.9978
2.9,0.9981
2.95,0.9984
3,0.9987
